split,filepath,label
val,val/cat/pixabay_cat_001464.png,cat
train,train/cat/pixabay_cat_000462.png,cat
val,val/wild/flickr_wild_001545.png,wild
train,train/wild/flickr_wild_002949.png,wild
train,train/dog/pixabay_dog_002368.png,dog
val,val/cat/pixabay_cat_000392.png,cat
val,val/cat/pixabay_cat_001653.png,cat
val,val/cat/pixabay_cat_000276.png,cat
val,val/dog/pixabay_dog_000410.png,dog
val,val/cat/pixabay_cat_003562.png,cat
val,val/wild/pixabay_wild_000381.png,wild
train,train/wild/flickr_wild_003528.png,wild
train,train/dog/pixabay_dog_000103.png,dog
train,train/wild/flickr_wild_000245.png,wild
val,val/cat/flickr_cat_000747.png,cat
train,train/wild/pixabay_wild_000443.png,wild
val,val/wild/pixabay_wild_000034.png,wild
train,train/dog/flickr_dog_000875.png,dog
train,train/wild/pixabay_wild_000378.png,wild
val,val/wild/flickr_wild_003238.png,wild
val,val/cat/pixabay_cat_003038.png,cat
val,val/dog/flickr_dog_000827.png,dog
train,train/cat/flickr_cat_000539.png,cat
train,train/cat/pixabay_cat_004105.png,cat
val,val/dog/pixabay_dog_002854.png,dog
train,train/wild/flickr_wild_001544.png,wild
train,train/wild/flickr_wild_001144.png,wild
train,train/cat/pixabay_cat_000127.png,cat
val,val/cat/pixabay_cat_001672.png,cat
val,val/wild/flickr_wild_000375.png,wild
val,val/dog/pixabay_dog_003887.png,dog
val,val/wild/flickr_wild_003617.png,wild
train,train/cat/flickr_cat_000109.png,cat
val,val/dog/flickr_dog_000625.png,dog
train,train/dog/pixabay_dog_001836.png,dog
train,train/cat/pixabay_cat_003032.png,cat
train,train/cat/pixabay_cat_000983.png,cat
val,val/dog/flickr_dog_000997.png,dog
val,val/dog/pixabay_dog_000271.png,dog
train,train/cat/pixabay_cat_000754.png,cat
val,val/dog/pixabay_dog_000611.png,dog
val,val/cat/pixabay_cat_000743.png,cat
val,val/dog/pixabay_dog_001497.png,dog
train,train/wild/flickr_wild_002238.png,wild
val,val/cat/pixabay_cat_004595.png,cat
val,val/wild/flickr_wild_001587.png,wild
train,train/wild/flickr_wild_000009.png,wild
train,train/cat/pixabay_cat_003916.png,cat
val,val/dog/pixabay_dog_000238.png,dog
val,val/dog/pixabay_dog_002782.png,dog
val,val/dog/pixabay_dog_001171.png,dog
val,val/cat/pixabay_cat_003313.png,cat
val,val/cat/pixabay_cat_004543.png,cat
train,train/cat/pixabay_cat_002034.png,cat
train,train/cat/pixabay_cat_002294.png,cat
train,train/cat/pixabay_cat_004632.png,cat
train,train/wild/pixabay_wild_000973.png,wild
train,train/cat/pixabay_cat_002445.png,cat
val,val/cat/pixabay_cat_000151.png,cat
val,val/cat/pixabay_cat_000126.png,cat
val,val/wild/flickr_wild_003335.png,wild
val,val/cat/pixabay_cat_000040.png,cat
train,train/wild/pixabay_wild_000747.png,wild
train,train/cat/pixabay_cat_000902.png,cat
train,train/wild/flickr_wild_001157.png,wild
val,val/wild/flickr_wild_001297.png,wild
train,train/dog/pixabay_dog_001921.png,dog
train,train/dog/pixabay_dog_002664.png,dog
val,val/wild/pixabay_wild_000361.png,wild
val,val/wild/flickr_wild_000535.png,wild
val,val/wild/pixabay_wild_000598.png,wild
val,val/dog/pixabay_dog_000691.png,dog
train,train/wild/flickr_wild_000610.png,wild
train,train/dog/pixabay_dog_001455.png,dog
val,val/wild/flickr_wild_003777.png,wild
val,val/dog/pixabay_dog_003372.png,dog
train,train/wild/flickr_wild_000204.png,wild
val,val/cat/pixabay_cat_002488.png,cat
train,train/dog/pixabay_dog_003188.png,dog
train,train/dog/flickr_dog_000993.png,dog
train,train/dog/pixabay_dog_004014.png,dog
val,val/cat/flickr_cat_000766.png,cat
val,val/cat/pixabay_cat_003595.png,cat
train,train/dog/pixabay_dog_000071.png,dog
val,val/wild/pixabay_wild_001093.png,wild
train,train/dog/pixabay_dog_000444.png,dog
train,train/wild/pixabay_wild_001087.png,wild
val,val/dog/pixabay_dog_002877.png,dog
train,train/dog/flickr_dog_000800.png,dog
train,train/dog/pixabay_dog_001822.png,dog
val,val/dog/flickr_dog_000580.png,dog
train,train/cat/pixabay_cat_001947.png,cat
train,train/cat/pixabay_cat_000934.png,cat
val,val/dog/pixabay_dog_001880.png,dog
train,train/dog/flickr_dog_000220.png,dog
train,train/cat/pixabay_cat_004200.png,cat
train,train/dog/pixabay_dog_000747.png,dog
train,train/cat/pixabay_cat_003759.png,cat
val,val/cat/pixabay_cat_000929.png,cat
train,train/wild/flickr_wild_002482.png,wild
val,val/cat/flickr_cat_000226.png,cat
val,val/cat/flickr_cat_000341.png,cat
train,train/wild/flickr_wild_000255.png,wild
train,train/cat/flickr_cat_000119.png,cat
val,val/wild/flickr_wild_001945.png,wild
val,val/cat/pixabay_cat_002640.png,cat
val,val/wild/pixabay_wild_000022.png,wild
train,train/dog/pixabay_dog_002912.png,dog
train,train/dog/flickr_dog_000852.png,dog
train,train/wild/flickr_wild_003090.png,wild
train,train/dog/pixabay_dog_001470.png,dog
val,val/cat/pixabay_cat_001479.png,cat
val,val/cat/pixabay_cat_004334.png,cat
train,train/cat/pixabay_cat_001312.png,cat
val,val/dog/pixabay_dog_002297.png,dog
val,val/wild/flickr_wild_000147.png,wild
val,val/wild/pixabay_wild_000745.png,wild
val,val/dog/pixabay_dog_000471.png,dog
train,train/wild/flickr_wild_001318.png,wild
val,val/wild/flickr_wild_001552.png,wild
train,train/cat/pixabay_cat_003194.png,cat
train,train/dog/pixabay_dog_001191.png,dog
train,train/dog/pixabay_dog_002485.png,dog
train,train/cat/pixabay_cat_000580.png,cat
train,train/cat/pixabay_cat_003749.png,cat
val,val/cat/flickr_cat_000233.png,cat
val,val/dog/pixabay_dog_000045.png,dog
val,val/wild/pixabay_wild_000428.png,wild
train,train/cat/pixabay_cat_001528.png,cat
val,val/wild/flickr_wild_002145.png,wild
train,train/dog/pixabay_dog_001773.png,dog
val,val/cat/pixabay_cat_001465.png,cat
train,train/dog/flickr_dog_000112.png,dog
train,train/wild/pixabay_wild_000172.png,wild
val,val/wild/flickr_wild_000267.png,wild
train,train/wild/flickr_wild_001680.png,wild
train,train/dog/pixabay_dog_001474.png,dog
train,train/cat/pixabay_cat_003149.png,cat
val,val/dog/pixabay_dog_001195.png,dog
val,val/wild/flickr_wild_001890.png,wild
val,val/wild/pixabay_wild_000680.png,wild
train,train/dog/pixabay_dog_004046.png,dog
val,val/dog/pixabay_dog_003891.png,dog
val,val/wild/flickr_wild_002032.png,wild
val,val/dog/pixabay_dog_003709.png,dog
train,train/cat/flickr_cat_000396.png,cat
train,train/wild/pixabay_wild_000474.png,wild
val,val/dog/flickr_dog_000245.png,dog
train,train/cat/flickr_cat_000803.png,cat
val,val/cat/pixabay_cat_002452.png,cat
train,train/wild/pixabay_wild_000469.png,wild
val,val/dog/pixabay_dog_000373.png,dog
val,val/wild/flickr_wild_003357.png,wild
val,val/cat/pixabay_cat_000833.png,cat
val,val/wild/flickr_wild_003918.png,wild
val,val/cat/pixabay_cat_004520.png,cat
train,train/cat/pixabay_cat_001498.png,cat
val,val/dog/pixabay_dog_000917.png,dog
train,train/cat/flickr_cat_000444.png,cat
train,train/wild/pixabay_wild_000627.png,wild
val,val/cat/pixabay_cat_000876.png,cat
train,train/wild/pixabay_wild_000370.png,wild
val,val/cat/pixabay_cat_003079.png,cat
train,train/cat/pixabay_cat_004271.png,cat
train,train/wild/flickr_wild_001409.png,wild
val,val/dog/flickr_dog_000116.png,dog
train,train/cat/pixabay_cat_003497.png,cat
train,train/dog/pixabay_dog_002484.png,dog
val,val/wild/flickr_wild_002714.png,wild
train,train/cat/pixabay_cat_003996.png,cat
train,train/cat/pixabay_cat_001177.png,cat
train,train/dog/flickr_dog_000234.png,dog
train,train/cat/pixabay_cat_002476.png,cat
train,train/cat/pixabay_cat_000695.png,cat
train,train/dog/pixabay_dog_002011.png,dog
val,val/dog/pixabay_dog_002949.png,dog
train,train/wild/flickr_wild_000218.png,wild
train,train/cat/pixabay_cat_002311.png,cat
val,val/cat/pixabay_cat_004548.png,cat
train,train/dog/flickr_dog_000978.png,dog
val,val/cat/pixabay_cat_003743.png,cat
val,val/dog/flickr_dog_001122.png,dog
val,val/dog/pixabay_dog_002979.png,dog
train,train/cat/pixabay_cat_002328.png,cat
train,train/dog/pixabay_dog_000030.png,dog
train,train/wild/flickr_wild_002530.png,wild
train,train/dog/pixabay_dog_003204.png,dog
val,val/cat/pixabay_cat_000325.png,cat
train,train/wild/flickr_wild_001333.png,wild
train,train/wild/pixabay_wild_000315.png,wild
train,train/dog/pixabay_dog_000174.png,dog
train,train/dog/pixabay_dog_000861.png,dog
train,train/cat/pixabay_cat_000712.png,cat
val,val/dog/pixabay_dog_000521.png,dog
train,train/wild/flickr_wild_001307.png,wild
train,train/cat/pixabay_cat_002961.png,cat
train,train/dog/pixabay_dog_003677.png,dog
train,train/dog/pixabay_dog_001883.png,dog
train,train/dog/pixabay_dog_001176.png,dog
train,train/dog/pixabay_dog_003853.png,dog
val,val/dog/flickr_dog_000856.png,dog
val,val/cat/pixabay_cat_004601.png,cat
train,train/wild/pixabay_wild_000431.png,wild
train,train/cat/pixabay_cat_000923.png,cat
val,val/cat/pixabay_cat_003753.png,cat
train,train/wild/flickr_wild_000551.png,wild
train,train/wild/flickr_wild_003961.png,wild
val,val/dog/pixabay_dog_000875.png,dog
val,val/dog/pixabay_dog_000500.png,dog
val,val/cat/pixabay_cat_003901.png,cat
val,val/dog/pixabay_dog_000582.png,dog
val,val/wild/pixabay_wild_000877.png,wild
train,train/cat/pixabay_cat_001230.png,cat
val,val/wild/flickr_wild_000855.png,wild
train,train/wild/flickr_wild_000356.png,wild
val,val/cat/pixabay_cat_004311.png,cat
train,train/wild/flickr_wild_002260.png,wild
train,train/cat/pixabay_cat_001052.png,cat
val,val/dog/pixabay_dog_002900.png,dog
train,train/dog/pixabay_dog_001582.png,dog
train,train/dog/pixabay_dog_001665.png,dog
val,val/wild/flickr_wild_002239.png,wild
train,train/cat/pixabay_cat_002058.png,cat
val,val/dog/flickr_dog_000317.png,dog
train,train/dog/pixabay_dog_002462.png,dog
val,val/cat/pixabay_cat_003701.png,cat
train,train/cat/pixabay_cat_003166.png,cat
train,train/wild/flickr_wild_002621.png,wild
train,train/dog/flickr_dog_000515.png,dog
val,val/dog/pixabay_dog_000494.png,dog
val,val/cat/pixabay_cat_000518.png,cat
train,train/cat/flickr_cat_000750.png,cat
train,train/wild/flickr_wild_000253.png,wild
train,train/wild/pixabay_wild_000452.png,wild
val,val/wild/flickr_wild_000560.png,wild
train,train/cat/pixabay_cat_000921.png,cat
val,val/dog/flickr_dog_001052.png,dog
val,val/dog/pixabay_dog_003856.png,dog
val,val/wild/pixabay_wild_000047.png,wild
val,val/dog/pixabay_dog_001575.png,dog
val,val/dog/flickr_dog_000946.png,dog
train,train/wild/flickr_wild_000765.png,wild
train,train/wild/pixabay_wild_001200.png,wild
train,train/dog/flickr_dog_000131.png,dog
val,val/wild/pixabay_wild_000155.png,wild
val,val/wild/flickr_wild_000628.png,wild
train,train/dog/flickr_dog_000048.png,dog
train,train/wild/flickr_wild_000964.png,wild
train,train/dog/pixabay_dog_002293.png,dog
train,train/wild/flickr_wild_001791.png,wild
train,train/dog/pixabay_dog_002535.png,dog
train,train/dog/pixabay_dog_003916.png,dog
val,val/cat/pixabay_cat_002341.png,cat
train,train/wild/flickr_wild_000837.png,wild
train,train/cat/pixabay_cat_000482.png,cat
train,train/cat/pixabay_cat_000710.png,cat
val,val/wild/flickr_wild_002508.png,wild
val,val/wild/flickr_wild_002182.png,wild
val,val/wild/flickr_wild_002775.png,wild
val,val/wild/pixabay_wild_000863.png,wild
val,val/dog/flickr_dog_001002.png,dog
train,train/cat/pixabay_cat_001024.png,cat
val,val/cat/flickr_cat_000570.png,cat
val,val/wild/flickr_wild_002016.png,wild
train,train/dog/pixabay_dog_001585.png,dog
train,train/cat/pixabay_cat_001654.png,cat
val,val/cat/pixabay_cat_003964.png,cat
val,val/dog/flickr_dog_000687.png,dog
val,val/dog/flickr_dog_000806.png,dog
val,val/wild/flickr_wild_003234.png,wild
train,train/cat/pixabay_cat_002907.png,cat
train,train/cat/pixabay_cat_002227.png,cat
val,val/dog/pixabay_dog_002402.png,dog
val,val/dog/pixabay_dog_002786.png,dog
train,train/dog/pixabay_dog_001133.png,dog
train,train/wild/flickr_wild_003440.png,wild
val,val/wild/pixabay_wild_001224.png,wild
train,train/dog/flickr_dog_000855.png,dog
train,train/dog/flickr_dog_000028.png,dog
val,val/cat/pixabay_cat_001665.png,cat
train,train/wild/flickr_wild_002187.png,wild
train,train/cat/pixabay_cat_000702.png,cat
